item.log.2020-04-24-06:24 Apr 2020 06:57:38,743 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 115977627 | jackpot | 1 | added gold to game | 200000 | 25000
item.log.2020-04-24-07:24 Apr 2020 07:04:22,262 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 114841499 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:04:29,563 INFO  [bitzero.server.controllers.ExtensionController-6] ItemLogger     - 104716084 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:07:32,273 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 111023536 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:16:51,565 INFO  [bitzero.server.controllers.ExtensionController-4] ItemLogger     - 111735376 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:24:33,134 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 116580828 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:35:36,439 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 115279523 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:41:41,891 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 114772517 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:42:35,173 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 119476499 | jackpot | 4 | added gold to game | 200000000 | 366000
item.log.2020-04-24-07:24 Apr 2020 07:54:52,316 INFO  [bitzero.server.controllers.ExtensionController-4] ItemLogger     - 112340622 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:55:21,992 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 120229530 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-07:24 Apr 2020 07:58:32,836 INFO  [bitzero.server.controllers.ExtensionController-14] ItemLogger     - 118129454 | jackpot | 1 | added gold to game | 200000 | 0
